time,frequency,fd
2024-04-08 17:20:00,15,-0.043944987650023234
2024-04-08 17:20:00,15,-0.03757178363428582
2024-04-08 17:20:00,15,-0.23083699974400798
2024-04-08 17:20:00,15,-0.2254172618502963
2024-04-08 17:20:00,15,-0.16848338332241797
2024-04-08 17:20:00,15,-0.13146969278083162
2024-04-08 17:20:00,15,-0.11275107197200551
2024-04-08 17:20:00,15,-0.08559336814182292
2024-04-08 17:20:00,15,-0.06573850165455601
2024-04-08 17:20:00,15,-0.06731915057692865
2024-04-08 17:20:00,15,-0.05152807525183007
2024-04-08 17:20:00,15,-0.04816180184994181
2024-04-08 17:20:00,15,-0.033598662309673635
2024-04-08 17:20:00,15,-0.031755376127907145
2024-04-08 17:20:00,15,-0.03661344059820834
2024-04-08 17:20:00,15,-0.025788884673384065
2024-04-08 17:20:00,15,-0.02002528783170002
2024-04-08 17:20:00,15,0.005371275719539076
2024-04-08 17:20:00,15,-0.02634792747802306
2024-04-08 17:20:00,15,-0.02514492841285889
2024-04-08 17:20:00,15,-0.02056273591780286
2024-04-08 17:20:00,15,-0.021912757353508595
2024-04-08 17:20:00,15,-0.01729359289353958
2024-04-08 17:20:00,15,-0.025351879781056803
2024-04-08 17:20:00,15,-0.02704951038123341
2024-04-08 17:20:00,15,-0.009651195141970857
2024-04-08 17:20:00,15,-0.009911350609217835
2024-04-08 17:20:00,15,-0.009658609328787367
2024-04-08 17:20:00,15,-0.004253427471072584
2024-04-08 17:20:00,15,-0.022931664989671738
2024-04-08 17:20:00,15,0.0510846123809275
2024-04-08 17:20:00,15,0.14553521163916205
2024-04-08 17:20:00,15,0.02170730641759993
2024-04-08 17:20:00,15,0.02719204616708236
2024-04-08 17:20:00,15,0.09458942906335371
2024-04-08 17:20:00,15,-0.4845666208767266
2024-04-08 17:20:00,15,-0.3059812683322824
2024-04-08 17:20:00,15,-0.323464982505725
2024-04-08 17:25:00,15,-0.04761676810681749
2024-04-08 17:25:00,15,-0.02790440030708342
2024-04-08 17:25:00,15,-0.044769644455791166
2024-04-08 17:25:00,15,-0.08210284340982742
2024-04-08 17:25:00,15,-0.042639773791055574
2024-04-08 17:25:00,15,-0.07446101885904786
2024-04-08 17:25:00,15,-0.041943346184008704
2024-04-08 17:25:00,15,-0.05519671184452336
2024-04-08 17:25:00,15,-0.048765301697563226
2024-04-08 17:25:00,15,-0.09165890315383092
2024-04-08 17:25:00,15,-0.056931173869809656
2024-04-08 17:25:00,15,-0.06554256928068665
2024-04-08 17:25:00,15,-0.07816726919552464
2024-04-08 17:25:00,15,0.2553014456305408
2024-04-08 17:25:00,15,-0.08487394375555303
2024-04-08 17:25:00,15,0.05251614927625406
2024-04-08 17:25:00,15,-0.0944534063001695
2024-04-08 17:25:00,15,-0.06356917872745792
2024-04-08 17:25:00,15,-0.02884998501537567
2024-04-08 17:25:00,15,-0.016144621198514394
2024-04-08 17:25:00,15,-0.0008119055691683443
2024-04-08 17:25:00,15,0.0075301513106066555
2024-04-08 17:25:00,15,0.00266544276069588
2024-04-08 17:25:00,15,-0.0018876344288969189
2024-04-08 17:25:00,15,-0.01026659595112245
2024-04-08 17:25:00,15,-0.007483497326134063
2024-04-08 17:25:00,15,-0.014759337117860826
2024-04-08 17:25:00,15,-0.01213882974758582
2024-04-08 17:25:00,15,-0.021512526411438297
2024-04-08 17:25:00,15,-0.02195564069867132
2024-04-08 17:25:00,15,-0.022838717824858325
2024-04-08 17:25:00,15,-0.02727855630718209
2024-04-08 17:25:00,15,-0.02928171439938162
2024-04-08 17:25:00,15,-0.03261091485751878
2024-04-08 17:25:00,15,-0.028785007792219142
2024-04-08 17:25:00,15,-0.029084608255269026
2024-04-08 17:25:00,15,-0.03211549052007396
2024-04-08 17:25:00,15,-0.025977004925622046
2024-04-08 17:25:00,15,-0.02096698282990663
2024-04-08 17:25:00,15,-0.017182262245683304
2024-04-08 17:25:00,15,-0.02153284579290541
2024-04-08 17:25:00,15,-0.011895988792024683
2024-04-08 17:25:00,15,-0.013859994123389141
2024-04-08 17:25:00,15,0.009136227362739183
2024-04-08 17:25:00,15,-0.0036947872975611543
2024-04-08 17:25:00,15,-0.11205636332245382
2024-04-08 17:25:00,15,0.008474010884902565
2024-04-08 17:25:00,15,-0.06903371499687204
2024-04-08 17:25:00,15,0.04770531393382094
2024-04-08 17:25:00,15,-0.2144710915164576
2024-04-08 17:25:00,15,-0.46718436187349677
2024-04-08 17:25:00,15,-0.7435479459131
2024-04-08 17:25:00,15,-0.40112430163890705
2024-04-08 17:30:00,15,-0.02527772661414903
2024-04-08 17:30:00,15,-0.028941097329803052
2024-04-08 17:30:00,15,-0.06840440294071039
2024-04-08 17:30:00,15,-0.062107018290295524
2024-04-08 17:30:00,15,-0.04651698572521864
2024-04-08 17:30:00,15,-0.08512458190474231
2024-04-08 17:30:00,15,-0.058965218961392264
2024-04-08 17:30:00,15,-0.04738853919199842
2024-04-08 17:30:00,15,-0.059395820768159094
2024-04-08 17:30:00,15,-0.11301606120834985
2024-04-08 17:30:00,15,-0.08360789397693202
2024-04-08 17:30:00,15,-0.05809892863004108
2024-04-08 17:30:00,15,-0.07794618829306055
2024-04-08 17:30:00,15,-0.1228878413595998
2024-04-08 17:30:00,15,0.11427093531928581
2024-04-08 17:30:00,15,0.14913187949307705
2024-04-08 17:30:00,15,0.008398252620322497
2024-04-08 17:30:00,15,0.05182858819527825
2024-04-08 17:30:00,15,0.04951205949162194
2024-04-08 17:30:00,15,0.04989063905956776
2024-04-08 17:30:00,15,0.02789966650919711
2024-04-08 17:30:00,15,0.01153259849231067
2024-04-08 17:30:00,15,0.0013794850544375861
2024-04-08 17:30:00,15,-0.018259231162029377
2024-04-08 17:30:00,15,-0.024963729378812693
2024-04-08 17:30:00,15,-0.03558518654802251
2024-04-08 17:30:00,15,-0.038271313757993385
2024-04-08 17:30:00,15,-0.054104594803648
2024-04-08 17:30:00,15,-0.04631323606649507
2024-04-08 17:30:00,15,-0.05020726633768974
2024-04-08 17:30:00,15,-0.04956140242517017
2024-04-08 17:30:00,15,-0.04464858969957696
2024-04-08 17:30:00,15,-0.046678181687772095
2024-04-08 17:30:00,15,-0.03778029545551105
2024-04-08 17:30:00,15,-0.037517122448518764
2024-04-08 17:30:00,15,-0.030759825699415926
2024-04-08 17:30:00,15,-0.02991515555429264
2024-04-08 17:30:00,15,-0.019883720026246117
2024-04-08 17:30:00,15,-0.018793256976049118
2024-04-08 17:30:00,15,-0.017657403175469745
2024-04-08 17:30:00,15,0.0007191666190741047
2024-04-08 17:30:00,15,0.007071429475976391
2024-04-08 17:30:00,15,-0.029326754341250837
2024-04-08 17:30:00,15,-0.03223511380217784
2024-04-08 17:30:00,15,0.04519882862748279
2024-04-08 17:30:00,15,-0.10105423344404645
2024-04-08 17:30:00,15,0.0447574207431301
2024-04-08 17:30:00,15,0.1323349399734868
2024-04-08 17:30:00,15,0.04981313751513183
2024-04-08 17:30:00,15,23.70299910287418
2024-04-08 17:30:00,15,-0.26954190721548854
2024-04-08 17:30:00,15,0.015038574468959343
2024-04-08 17:30:00,15,-0.2912909092809314
2024-04-08 17:35:00,15,-0.05380450130682873
2024-04-08 17:35:00,15,-0.05494416314728163
2024-04-08 17:35:00,15,-0.045317127660615214
2024-04-08 17:35:00,15,-0.03583831590103902
2024-04-08 17:35:00,15,-0.039258964350063943
2024-04-08 17:35:00,15,0.0025427468102779682
2024-04-08 17:35:00,15,-0.06555229598797618
2024-04-08 17:35:00,15,-0.03970533257032525
2024-04-08 17:35:00,15,-0.06388475018301915
2024-04-08 17:35:00,15,0.022758959341231295
2024-04-08 17:35:00,15,-0.014592202772730812
2024-04-08 17:35:00,15,-0.05217918944720274
2024-04-08 17:35:00,15,-0.2688302709397877
2024-04-08 17:35:00,15,-0.169521356364526
2024-04-08 17:35:00,15,0.04078856997548508
2024-04-08 17:35:00,15,0.1910759303067386
2024-04-08 17:35:00,15,0.06919434999792971
2024-04-08 17:35:00,15,0.07200657631727682
2024-04-08 17:35:00,15,0.04411073565497692
2024-04-08 17:35:00,15,0.023429870452744736
2024-04-08 17:35:00,15,-0.0005192695800362718
2024-04-08 17:35:00,15,-0.03682614767385523
2024-04-08 17:35:00,15,-0.031155392611511366
2024-04-08 17:35:00,15,-0.04609702386968246
2024-04-08 17:35:00,15,-0.03957294824630957
2024-04-08 17:35:00,15,-0.044613942418443284
2024-04-08 17:35:00,15,-0.043723233358382824
2024-04-08 17:35:00,15,0.0005999576441600013
